,Location,Price,Name,Date,Feature0,Feature1,Feature3,Feature2
20,"Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng","2,2 triệu/tháng- 23 m2",Cho thuê phòng trọ và căn hộ giá rẻ,Tin cá nhân đăng 11 giờ trước,Cho thuê,Diện tích: 23 m²,Số tiền cọc: 2.200.000 đ,Tình trạng nội thất: Nội thất đầy đủ
21,"bắc đẩu hoà cường bắc hải châu Đà Nẵng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",5 triệu/tháng- 40 m2,Cho thuê phòng trọ đầy đủ tiện nghi,Tin cá nhân đăng 17 giờ trước,Cho thuê,Diện tích: 40 m²,,Tình trạng nội thất: Nội thất đầy đủ
22,"K511/29, Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",2 triệu/tháng- 20 m2,Phòng có không khí mát đầy đủ,Tin cá nhân đăng 19 giờ trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 2.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
23,"Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",2 triệu/tháng- 40 m2,phòng trọ mặt tiền Lê Văn Hiến,Tin cá nhân đăng 20 giờ trước,Cho thuê,Diện tích: 40 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
24,"Đường Mẹ Nhu, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",1 triệu/tháng- 18 m2,Phòng trọ sinh viên,Tin cá nhân đăng 22 giờ trước,Cho thuê,Diện tích: 18 m²,,Tình trạng nội thất: Nhà trống
25,"k317/42, Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",700.000 đ/tháng- 25 m2,Cho thuê nhà trọ,Tin cá nhân đăng 22 giờ trước,Cho thuê,Diện tích: 25 m²,,
26,"109, NGUYỄN THUẬT, Phường An Khê, Quận Thanh Khê, Đà Nẵng","1,7 triệu/tháng- 18 m2","Cho thuê trọ có điều hòa ở ngã 3 Huế, bến xe",Tin cá nhân đăng 24 giờ trước,Cho thuê,Diện tích: 18 m²,Số tiền cọc: 1.700.000 đ,Tình trạng nội thất: Nhà trống
27,"Trương Quang Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng","3,9 triệu/tháng- 40 m2",Phòng mới Mới Xây-NEW 100% Nội Thất hiện đại,Tin môi giới đăng hôm qua,Cho thuê,Diện tích: 40 m²,,Tình trạng nội thất: Nội thất cao cấp
28,"Đường Hải Hồ, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","1,2 triệu/tháng- 15 m2",Phòng trọ cho nữ thuê - Gần chợ Đống Đa,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 1 đ,
29,"Đường Mỹ An 12, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","1,7 triệu/tháng- 25 m2",Phòng trọ mặt tiền gần Đại học Kinh tế Đà Nẵng,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
30,"16 Bàu Vàng 1, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",900.000 đ/tháng- 15 m2,Phòng trọ gần Đại học Bách khoa,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 15 m²,,Tình trạng nội thất: Nhà trống
31,"Đường Đoàn Hữu Trưng, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",2 triệu/tháng- 30 m2,"Cho thuê nhà trọ mặt tiền,gần chợ",Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 30 m²,,Tình trạng nội thất: Nhà trống
32,"Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","2,5 triệu/tháng- 20 m2",Phòng trọ QUY CHUẨN Quận Hải Châu,Tin môi giới đăng hôm qua,Cho thuê,Diện tích: 20 m²,,
33,"Trần Cao Vân, Phường An Khê, Quận Thanh Khê, Đà Nẵng","1,5 triệu/tháng- 20 m2",Còn 2 phòng trọ giá sinh viên,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
34,"Hà Thị Thân, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng","2,2 triệu/tháng- 30 m2",Phòng trọ 30m2 có gác lửng và ban công.,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 30 m²,,
35,"Đường Phước Lý 18, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,4 triệu/tháng- 17 m2","PHÒNG TRỌ MỚI GẦN BẾN XE, PHƯỚC LÝ 18,LIÊN CHIỂU",Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 17 m²,Số tiền cọc: 1.000.000 đ,
36,"33, hỏa sơn 2, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",2 triệu/tháng- 25 m2,Phòng trọ 3 sao mới xây tiện nghi Nguyễn Duy Trinh,Tin môi giới đăng hôm qua,Cho thuê,Diện tích: 25 m²,,Tình trạng nội thất: Nội thất đầy đủ
37,"Đường Nguyễn Công Trứ, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng","2,2 triệu/tháng- 70 m2",cho thuê nhà nguyên căn nguyễn công trứ,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 70 m²,Số tiền cọc: 500.000 đ,
38,"Miếu Bông 2, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",2 triệu/tháng- 25 m2,Cho thuê phòng,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.500.000 đ,Tình trạng nội thất: Nhà trống
39,"Đường Lê Thị Tính, Phường An Khê, Quận Thanh Khê, Đà Nẵng","1,6 triệu/tháng- 30 m2",Phòng trọ cao cấp giá rẻ tại quận Thanh Khê,Tin môi giới đăng hôm qua,Cho thuê,Diện tích: 30 m²,,Tình trạng nội thất: Nội thất cao cấp
40,"66/24, Nguyễn Thành Hãn, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng","1,5 triệu/tháng- 20 m2",CÒN PHÒNG TRỌ CHO THUÊ NGAY TRUNG TÂM,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
41,"dũng sỉ thanh khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",2 triệu/tháng- 25 m2,phòng mới,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
42,"176 Tế Hanh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",1 triệu/tháng- 25 m2,Ptro1tr quá bình dân,Tin môi giới đăng hôm qua,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
43,"33, Nại Hiên Đông 16, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng","1,5 triệu/tháng- 25 m2",Cho thuê phòng trọ Quận Sơn Trà năm 2022,Tin cá nhân đăng hôm qua,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.500.000 đ,
44,"Nguyễn Đức An, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",2 triệu/tháng- 25 m2,"Phòng trọ cao cấp mới Sơn Trà, có gác lửng",Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.000.000 đ,
45,"K454/38/20, Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",2 triệu/tháng- 15 m2,Cho thuê phòng,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 15 m²,,
46,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng","2,5 triệu/tháng- 30 m2",cho thuê phòng trọ 182 Lê Đình lý. giá 2.5tr/th,Tin môi giới đăng 2 ngày trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 2.500.000 đ,Tình trạng nội thất: Nhà trống
47,"Đường Trần Đăng Ninh, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",1 triệu/tháng- 360 m2,KTX Thời Hiện Đại,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 360 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất cao cấp
48,"K48/H02/12, Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng","2,5 triệu/tháng- 35 m2","CHO THUÊ PHÒNG TRỌ TIỆN NGHI,GIÁ RẺ ĐƯỜNG LÊ ĐỘ",Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 35 m²,Số tiền cọc: 2.000.000 đ,
49,"Đường Nguyễn Xuân Hữu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng","1,4 triệu/tháng- 18 m2",Cho thuê phòng trọ gần chợ Cẩm Lệ giá rẻ,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 18 m²,Số tiền cọc: 500.000 đ,
50,"Cẩm Toại Tây, Xã Hòa Phong, Huyện Hòa Vang, Đà Nẵng",900.000 đ/tháng- 25 m2,Cho thuê phòng trọ giá rẽ. tiện nghi,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 25 m²,,
51,"119, bình kỳ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng","1,6 triệu/tháng- 20 m2",Cho thuê phòng trọ mới quận ngũ hành sơn,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.600.000 đ,
52,"Thành Thái, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","1,2 triệu/tháng- 20 m2","Phòng trọ cao cấp đầy đủ tiện nghi ,mới xây",Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
53,"Dương đình nghệ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",1 triệu/tháng- 4 m2,"Phòng mini cho 1 người gần cầu sông Hàn, biển PVĐ",Tin môi giới đăng 2 ngày trước,Cho thuê,Diện tích: 4 m²,Số tiền cọc: 500.000 đ,
54,"Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",900.000 đ/tháng- 5 m2,Phòng dorm chỉ dành cho 1 người gần Tượng đài 2/9,Tin môi giới đăng 2 ngày trước,Cho thuê,Diện tích: 5 m²,Số tiền cọc: 500.000 đ,
55,"Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng","1,5 triệu/tháng- 18 m2",Phòng trọ đường Tống Phước Phổ,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 18 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
56,"26, Đường Hòa Nam 5, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,2 triệu/tháng- 20 m2",Phòng trọ có gác lửng 2 tầng đường Hòa Nam 5,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.000.000 đ,
57,"Đường Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","1,4 triệu/tháng- 20 m2",Phòng trọ Hòa Khánh,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 300.000 đ,
58,"Trường Sơn, Xã Hòa Nhơn, Huyện Hòa Vang, Đà Nẵng",800.000 đ/tháng- 20 m2,cho thuê nhà trọ chủ không ở cùng,Tin cá nhân đăng 2 ngày trước,Cho thuê,Diện tích: 20 m²,,Tình trạng nội thất: Nội thất đầy đủ
59,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng","1,6 triệu/tháng- 20 m2",Cần cho thuê phòng trọ thoáng mát,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.600.000 đ,Tình trạng nội thất: Nội thất đầy đủ
60,"115 Phạm Công Trứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","1,5 triệu/tháng- 100 m2","Cho thuê nguyên tầng 2, Hòa Xuân",Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 100 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
61,"Đường Mộc Sơn 4, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",3 triệu/tháng- 50 m2,Cho thuê Nhà Nguyên Căn Đường Mộc Sơn 4,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 50 m²,Số tiền cọc: 100.000 đ,Tình trạng nội thất: Nhà trống
62,"Trương Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng","3,7 triệu/tháng- 40 m2","phòng có nội thất gần bv 600 giường,khu Fpt New",Tin môi giới đăng 3 ngày trước,Cho thuê,Diện tích: 40 m²,,Tình trạng nội thất: Nội thất đầy đủ
63,"50, Đường Lâm Hoành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",3 triệu/tháng- 20 m2,"Phòng giá rẻ, Thang máy, Đủ nội thất 30m ra biển",Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 3.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
64,"BÙI THIỆN NGỘ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","1,8 triệu/tháng- 25 m2",Cho thuê phòng trọ!,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.000 đ,Tình trạng nội thất: Nội thất đầy đủ
65,"Quốc Lộ 1A, Phường An Khê, Quận Thanh Khê, Đà Nẵng",2 triệu/tháng- 20 m2,Phòng trọ giá rẽ trung tâm thanh khê,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 2.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
66,"14, Hoàng Ngọc Phách, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1 triệu/tháng- 20 m2,Tìm bạn ở ghép giá cả phòng la 1 triệu,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 20 m²,,Tình trạng nội thất: Nội thất đầy đủ
67,"Nguyễn Minh Chấn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,1 triệu/tháng- 12 m2","Phòng trọ hoà khánh nam, Liên Chiểu",Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 12 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
68,"Nguyễn Bỉnh Khiêm, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",3 triệu/tháng- 30 m2,Cho Thuê Phòng Ngay Đầu Cầu Rồng Chợ Đêm Sơn Trà.,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 2.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
69,"Hẻm 9 Kiệt 36, Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",2 triệu/tháng- 18 m2,"Phòng trọ mới sửa gần đại học Duy Tân, Bv Hoàn Mỹ",Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 18 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
70,"K14 H1/9, Đường Bùi Chát, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","1,6 triệu/tháng- 21 m2",Phòng trọ 21m2 quận Liên Chiểu,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 21 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
71,"k127/97/58, Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","1,5 triệu/tháng- 15 m2",Phòng trọ Thanh Khê Đà Nẵng giá rẻ,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 100.000 đ,Tình trạng nội thất: Nhà trống
72,"38, xuân đán 1, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng","1,8 triệu/tháng- 24 m2","PHÒNG TRỌ AN NINH, SẠCH SẼ QUẬN THANH KHÊ, ĐÀ NẴNG",Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 24 m²,,
73,"166/10, đường Trường Chinh, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng","1,5 triệu/tháng- 24 m2",NHÀ TRỌ 1.5 TRIỆU GẦN CẦU VƯỢT NGÃ BA HUẾ ĐÀ NẴNG,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 24 m²,,
74,"K42/1, Ngô Sỹ Liên, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","1,6 triệu/tháng- 15 m2",Phòng trọ sinh viên Bách Khoa,Tin môi giới đăng 3 ngày trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 1.600.000 đ,Tình trạng nội thất: Nhà trống
75,"An Thượng 37, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","3,5 triệu/tháng- 35 m2",Cho thuê phòng An Thượng 37,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 35 m²,Số tiền cọc: 3.500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
76,"Nam Cao Nối Dài, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,4 triệu/tháng- 27 m2",Cho thuê trọ gia đình,Tin cá nhân đăng 3 ngày trước,Cho thuê,Diện tích: 27 m²,,
77,"16, Nhơn Hoà 6, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng","1,6 triệu/tháng- 25 m2",Phòng mới giá rẻ gần chợ Hoà An,Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
78,"Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","2,5 triệu/tháng- 34 m2",Cho Thuê Phòng,Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 34 m²,,
79,"Đường Hương Hải Thiền Sư, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng","2,5 triệu/tháng- 30 m2",Mặt tiền Phòng trọ Quận Sơn Trà 30m²,Tin môi giới đăng 4 ngày trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
80,"Đường Phan Thành Tài, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng","3,5 triệu/tháng- 30 m2",CĂN HỘ MINI Q.HẢI CHÂU- SÁT BỜ SÔNG HÀN,Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 3.500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
81,"Đường Ngô Thì Sĩ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",4 triệu/tháng- 40 m2,✅Phòng có ban công rộng gần ĐH Kinh Tế ở được 3 ng,Tin môi giới đăng 4 ngày trước,Cho thuê,Diện tích: 40 m²,,Tình trạng nội thất: Nội thất đầy đủ
82,"3/2, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",3 triệu/tháng- 20 m2,Phòng ở gia đình trung tâm TP (đường 3/2),Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 3.000.000 đ,
83,"Đường 2 Tháng 9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","2,7 triệu/tháng- 25 m2",phòng trọ 25 m2 đẹp khu Trung tâm đường 2/9,Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
84,"Đường Cô Giang, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",5 triệu/tháng- 25 m2,Cho thuê 1 phòng ngủ trung tâm Đà Nẵng,Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 25 m²,,Tình trạng nội thất: Nội thất đầy đủ
85,"Bầu Năng 15, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,4 triệu/tháng- 20 m2","Cho thuê phòng bầu năng15 đường 5,5 gần bến xe",Tin môi giới đăng 4 ngày trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,
86,"493, TÔN ĐỨC THẮNG, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","3,2 triệu/tháng- 40 m2",CHO THUÊ PHÒNG FULL NỘI THẤT 493 TÔN ĐỨC THẮNG,Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 40 m²,Số tiền cọc: 3.200.000 đ,Tình trạng nội thất: Nội thất cao cấp
87,"109, 109 Thích Thiện Chiếu, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng","1,5 triệu/tháng- 45 m2",CHO THUÊ PHÒNG TRỌ KHU VỰC THỌ QUANG,Tin cá nhân đăng 4 ngày trước,Cho thuê,Diện tích: 45 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
