,Location,Price,Name,area,Feature2,Feature3,Feature4,Feature5,Feature6,Feature10
10,"Địa chỉ: 132 Đường Duy Tân, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",1.7 triệu,Cho thuê phòng trọ ở trung tâm thành phố,18m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 13:37 07/06/2022","Ngày hết hạn: Thứ 4, 09:18 08/06/2022",
11,"Địa chỉ: K45 Lê Độ, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",2 triệu,"Cho thuê phòng trọ tại K45 Lê Độ, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",12m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 15:16 02/06/2022","Ngày hết hạn: Chủ Nhật, 15:16 12/06/2022",
12,"Địa chỉ: k40/27 Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",1.8 triệu,Cho thuê phòng trọ VIP ở trung tâm thành phố,23m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 07:15 02/06/2022","Ngày hết hạn: Thứ 7, 09:28 11/06/2022",
13,"Địa chỉ: Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",3 triệu,"Cho thuê Nhà Nguyên Căn Đường Mộc Sơn 4, Quận Ngũ Hành Sơn",50m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 19:19 31/05/2022","Ngày hết hạn: Thứ 6, 19:19 10/06/2022",
14,"Địa chỉ: 06 Tạ Hiện, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",2.5 triệu,"Phòng trọ 50m2 Trung tâm tp Hải Châu. Giá Mềm chỉ 2,5 Triệu/Tháng",50m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 2, 15:55 30/05/2022","Ngày hết hạn: Thứ 2, 15:55 13/06/2022",
15,"Địa chỉ: 168-05 Đường Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1.8 triệu,"Nhà trọ Cao cấp Mới xây rất đẹp thoáng mát, Gần Nguyễn Hữu Thọ Và Lê Đại Hành Đà Nẵng",25m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 2, 13:59 30/05/2022","Ngày hết hạn: Thứ 7, 13:59 04/06/2022",
16,"Địa chỉ: K51/34 Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",1.8 triệu,Phòng trọ mới gần 500m Chợ Hòa Khánh giá tốt,25m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 2, 11:53 30/05/2022","Ngày hết hạn: Thứ 5, 11:53 09/06/2022",
17,"Địa chỉ: K18/17 Phùng Hưng, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",2.5 triệu,Phòng cho thuê rộng rãi thoáng mát từ 2tr5/tháng,40m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 7, 13:06 28/05/2022","Ngày hết hạn: Thứ 3, 13:06 07/06/2022",
18,"Địa chỉ: K2/17C Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",1.8 triệu,"Cho thuê phòng trọ đường Ông Ích Khiêm giá chỉ 1,8 Triệu/Tháng. Điện thoại: 0777287114 (Chú Hưởng)",35m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 6, 08:21 27/05/2022","Ngày hết hạn: Thứ 2, 08:21 06/06/2022",
19,"Địa chỉ: Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2.5 triệu,"Phòng, Căn hộ mini mới 100% gần cầu Hoà Xuân giá cả hợp lý",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 2, 20:38 23/05/2022","Ngày hết hạn: Thứ 7, 20:38 28/05/2022",
20,"Địa chỉ: 319/33 Trưng Nữ Vương, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",1.5 triệu,"Cho Thuê phòng trọ tại 319/33 Trưng Nữ Vương, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",18m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 12:38 17/05/2022","Ngày hết hạn: Chủ Nhật, 12:38 22/05/2022",
21,"Địa chỉ: 05 Đường Phong Bắc 20, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",1.7 triệu,"Cho thuê phòng trọ giá 1tr7 và 2tr2 tại 05 Đường Phong Bắc 20, Phường Hòa Thọ Đông, Quận Cẩm Lệ",20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Chủ Nhật, 21:58 15/05/2022","Ngày hết hạn: Thứ 6, 21:58 20/05/2022",
22,"Địa chỉ: k266 H14 Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",1.4 triệu,"Phòng trọ giá rẻ ngã tư Hoàng Diệu-Nguyễn Văn Linh, gần ĐH Duy Tân",16m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Nữ,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 08:31 04/05/2022","Ngày hết hạn: Thứ 2, 08:31 09/05/2022",
23,"Địa chỉ: 1 Phạm Văn Bạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",1.8 triệu,"Cho thuê phòng trọ khu trung tâm gần khu vui chơi Helio, siêu thị Lotte",20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Chủ Nhật, 13:41 01/05/2022","Ngày hết hạn: Chủ Nhật, 13:41 08/05/2022",
24,"Địa chỉ: 39 Đường Bùi Xương Tự, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",1 triệu,Cần tìm 1 hoặc 2 bạn nữ sinh viên ở ghép phòng riêng trong nhà nguyên căn chỉ 1 Triệu/Tháng,70m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Nữ,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 08:47 28/04/2022","Ngày hết hạn: Thứ 3, 08:47 03/05/2022",
25,"Địa chỉ: Đường Trần Huấn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1.2 triệu,"Cho thuê phòng trọ diện tích 15m2, có gác lửng, toilet trong phòng",15m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 08:43 28/04/2022","Ngày hết hạn: Thứ 3, 08:43 03/05/2022",
26,"Địa chỉ: 139 Đường Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",1 triệu,"Cho thuê phòng trọ tại 139 Đường Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 08:43 28/04/2022","Ngày hết hạn: Thứ 3, 08:43 03/05/2022",
27,"Địa chỉ: Lâm Hoành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",2.7 triệu,Cho thuê phòng khách sạn sát biển Mỹ Khê Quận Sơn Trà TP Đà Nẵng,20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 11:31 26/04/2022","Ngày hết hạn: Thứ 7, 14:44 30/04/2022",
28,"Địa chỉ: 3 Đường Phạm Văn Bạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",3 triệu,"CĂN HỘ/PHÒNG TRỌ ĐẦY ĐỦ TIỆN NGHI CÓ MÁY GIẶT TỪNG PHÒNG, KHU TRUNG TÂM LOTTE HELIO, NHÀ NGAY ĐƯỜNG CHÍNH",250m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 6, 16:26 22/04/2022","Ngày hết hạn: Thứ 4, 16:26 27/04/2022",
29,"Địa chỉ: Đường Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",2.5 triệu,Cho thuê phòng quận Hải Châu đầy đủ tiện nghi. Giá 2tr5/tháng,15m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Nữ,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 20:42 20/04/2022","Ngày hết hạn: Thứ 2, 20:42 25/04/2022",
30,"Địa chỉ: Vương Thừa Vũ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",1.2 triệu,"Cần cho thuê tại Ngã tư đường Vương Thừa Vũ + Trần Duy Chiến, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",18m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 17:08 20/04/2022","Ngày hết hạn: Thứ 4, 17:08 27/04/2022",
31,"Địa chỉ: Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",4.5 triệu,Cho thuê căn hộ có ban công khu vực trung tâm,35m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 11:59 20/04/2022","Ngày hết hạn: Thứ 2, 11:59 25/04/2022",
32,"Địa chỉ: 110/24 Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",2.7 triệu,"Cho thuê phòng trọ sạch đẹp, khu an ninh tốt. Phòng rộng 24m2, Giá thuê 2,7 Triệu/Tháng",24m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 23:30 14/04/2022","Ngày hết hạn: Thứ 3, 23:30 19/04/2022",
33,"Địa chỉ: 102 Đường Hải Hồ, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",1.5 triệu,"Phòng trọ lịch sự, an ninh cho nữ sinh viên, gần chợ Đống Đa, 102 Hải Hồ",16m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Nữ,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 07:48 14/04/2022","Ngày hết hạn: Thứ 3, 07:48 19/04/2022",
34,"Địa chỉ: Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",2 triệu,"Cho thuê phòng trọ 30m2, có gác lững. Các bạn quan tâm có thể gọi điện hoặc zalo cho mình qua : 0933424057",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 11:15 13/04/2022","Ngày hết hạn: Thứ 2, 11:15 18/04/2022",
35,"Địa chỉ: Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",700.000 đ,"Phòng trọ giá rẻ Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng gần KCN Hoà Khánh",20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 2, 14:53 11/04/2022","Ngày hết hạn: Thứ 7, 14:53 16/04/2022",
36,"Địa chỉ: Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",900.000 đ,"Cho thuê phòng trọ giá quá rẻ , điện nước tự trả, phòng sạch, an ninh tốt,",18m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 7, 15:01 09/04/2022","Ngày hết hạn: Thứ 5, 15:01 14/04/2022",
37,"Địa chỉ: 32 Đường Dương Thị Xuân Quý, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",5 triệu,"Cho thuê mặt tiền 32 Dương Thị Xuân Quý, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",42m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 15:41 06/04/2022","Ngày hết hạn: Thứ 2, 15:41 11/04/2022",
38,"Địa chỉ: K266 H14/19 Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",1.4 triệu,Phòng trọ đường Hoàng Diệu cho nữ thuê dài hạn giá rẻ gần Đại học Duy Tân,16m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Nữ,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 09:07 05/04/2022","Ngày hết hạn: Thứ 5, 09:07 14/04/2022",
39,"Địa chỉ: 1 Phạm Văn Bạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",3 triệu,"Phòng trọ mặt tiền cho thuê khu vực Lotte Mart, trường Đại Việt, Kiến Trúc, Đông Á",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Chủ Nhật, 15:26 03/04/2022","Ngày hết hạn: Chủ Nhật, 15:26 10/04/2022",
40,"Địa chỉ: 305 Huy Cận, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1.6 triệu,"Cho thuê phòng trọ sạch, đẹp, mặt tiền tại 305 Huy Cận",15m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 6, 16:14 01/04/2022","Ngày hết hạn: Thứ 4, 16:14 06/04/2022",
41,"Địa chỉ: 40/18 Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",2.5 triệu,Cho thuê phòng Quận Hải Châu trung tâm,25m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 6, 16:12 01/04/2022","Ngày hết hạn: Thứ 4, 16:12 06/04/2022",
42,"Địa chỉ: Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1 triệu,"Đ/C: K94/55 Lê Hữu Trác, Q. Sơn Trà, kiệt rộng và thoáng khu an ninh tốt, xung quanh gần chợ và cửa hàng bách hóa",16m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 6, 14:27 01/04/2022","Ngày hết hạn: Thứ 4, 14:27 06/04/2022",
43,"Địa chỉ: K264 Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",1.1 triệu,"Cho thuê phòng trọ rộng rãi tại K264 Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng. Lh chính chủ sdt:0905249183",20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 7, 11:06 26/03/2022","Ngày hết hạn: Thứ 5, 11:06 31/03/2022",
44,"Địa chỉ: 523/5 Đường Cách Mạng Tháng Tám, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",2.2 triệu,Cho thuê phòng trọ mặt tiền đường kiệt rộng 5m. Liên hệ 0905688827 để trao đổi và xem phòng,30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 7, 10:56 26/03/2022","Ngày hết hạn: Thứ 5, 10:56 31/03/2022",
45,"Địa chỉ: Trương Vân Lĩnh, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",800.000 đ,Phòng trọ cho thuê gần KCN Hòa Khánh ( Mê Linh),15m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 14:28 24/03/2022","Ngày hết hạn: Thứ 3, 14:28 29/03/2022",
46,"Địa chỉ: 35 Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",2 triệu,Cho Thuê Phòng Trọ Nữ Sát Đại Học Kinh Tế Đà Nẵng,20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Nữ,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 15:18 23/03/2022","Ngày hết hạn: Thứ 2, 15:18 28/03/2022",
47,"Địa chỉ: 1 Phạm Văn Bạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",3 triệu,"Mặt tiền phòng trọ cho thuê khu vực Lotte Mart, trường Skyline",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 10:52 23/03/2022","Ngày hết hạn: Thứ 2, 10:52 28/03/2022",
48,"Địa chỉ: 92 Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",1.5 triệu,"Cần cho thuê phòng trọ tại 92 Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng. Giá chỉ từ 1,5Tr đến 2Tr",18m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 10:42 17/03/2022","Ngày hết hạn: Thứ 3, 10:42 22/03/2022",
49,"Địa chỉ: 155 Đường Yên Khê 2, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",1.5 triệu,"Tại đây cho thuê đa dạng các loại phòng khác nhau 155 Đường Yên Khê 2, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 15:33 16/03/2022","Ngày hết hạn: Thứ 2, 15:33 21/03/2022",
50,"Địa chỉ: 12 Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",1.2 triệu,"Cho thuê phòng trọ tại 12 Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Chủ Nhật, 13:56 13/03/2022","Ngày hết hạn: Thứ 6, 13:56 18/03/2022",
51,"Địa chỉ: 894 H7/4 Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2 triệu,Cho thuê phòng trọ hơn 40m2 ( Gần như nhà ở) Giá thuê chỉ 2 Triệu/Tháng,40m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 6, 16:10 11/03/2022","Ngày hết hạn: Thứ 4, 16:10 23/03/2022",
52,"Địa chỉ: Nhơn Hòa 7, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",1.5 triệu,"Nhà trọ mới sau bến xe trung tâm TP Đà Nẵng ( Nhơn hoà 7 , đường 5,5)",22m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 6, 08:48 11/03/2022","Ngày hết hạn: Thứ 4, 08:48 16/03/2022",
53,"Địa chỉ: k322/48 Hải Phòng, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",900.000 đ,Cho Thuê Phòng Trọ Sinh Viên Đại Học,30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Chủ Nhật, 10:39 06/03/2022","Ngày hết hạn: Thứ 6, 10:39 11/03/2022",
54,"Địa chỉ: Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",,"Cho thuê phòng trọ sinh viên rộng 30m2 tại Đường Núi Thành, Hòa Cường Nam, Quận Hải Châu",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 09:17 03/03/2022","Ngày hết hạn: Thứ 3, 09:17 08/03/2022",
55,"Địa chỉ: Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2 triệu,Cho thuê nhà trọ xanh sạch đẹp tại Hòa Xuân,30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 09:05 01/03/2022","Ngày hết hạn: Thứ 2, 09:05 07/03/2022",
56,"Địa chỉ: 322/48 Đường Hải Phòng, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",2 triệu,Cho thuê phòng trọ giành cho sinh viên (1-2 người). Giá phòng giao động 1-2 triệu./tháng,60m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 17:31 23/02/2022","Ngày hết hạn: Thứ 2, 17:31 28/02/2022",
57,"Địa chỉ: Kiệt 169/10 Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",1 triệu,"Cho thuê phòng trọ giá rẻ giá sinh viên tại Kiệt 169/10 Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",18m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Chủ Nhật, 15:22 20/02/2022","Ngày hết hạn: Thứ 6, 15:22 25/02/2022",
58,"Địa chỉ: 894 H7/4 Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2 triệu,Cho thuê phòng trọ hơn 40m2 như nhà ở rộng rãi. Giá thuê chỉ 2 Triệu/tháng,40m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Nữ,Gói tin: Tin thường,"Ngày đăng: Thứ 7, 09:38 19/02/2022","Ngày hết hạn: Thứ 5, 09:38 24/02/2022",
